itching,skin_rash,chills,vomiting,fatigue,prognosis,probability
0,0,0,0,0,psoriasis,0.05
0,0,0,0,1,psoriasis,0
0,0,0,1,0,psoriasis,0
0,0,0,1,1,psoriasis,0
0,0,1,0,0,psoriasis,0
0,0,1,0,1,psoriasis,0
0,0,1,1,0,psoriasis,0
0,0,1,1,1,psoriasis,0
0,1,0,0,0,psoriasis,0.95
0,1,0,0,1,psoriasis,0
0,1,0,1,0,psoriasis,0
0,1,0,1,1,psoriasis,0
0,1,1,0,0,psoriasis,0
0,1,1,0,1,psoriasis,0
0,1,1,1,0,psoriasis,0
0,1,1,1,1,psoriasis,0
1,0,0,0,0,psoriasis,0
1,0,0,0,1,psoriasis,0
1,0,0,1,0,psoriasis,0
1,0,0,1,1,psoriasis,0
1,0,1,0,0,psoriasis,0
1,0,1,0,1,psoriasis,0
1,0,1,1,0,psoriasis,0
1,0,1,1,1,psoriasis,0
1,1,0,0,0,psoriasis,0
1,1,0,0,1,psoriasis,0
1,1,0,1,0,psoriasis,0
1,1,0,1,1,psoriasis,0
1,1,1,0,0,psoriasis,0
1,1,1,0,1,psoriasis,0
1,1,1,1,0,psoriasis,0
1,1,1,1,1,psoriasis,0